modality,task,formulation,n_subjects,n_trials_total,n_valid_or_pairs,coverage_or_pairwise_usable_fraction,global_prop_high,mean_subject_balance_gap_abs,max_subject_balance_gap_abs,mean_fold_balance_gap_abs,empty_or_unusable_subjects,leakage_risk,scientifically_valid,leakage_reason,selection_score
EEG,arousal,subject_median_split,63,2016,1694,0.8402777777777778,0.5088547815820543,0.05284786871044163,0.5,0.02214209619001416,0,medium,True,"Uses each subject's own rating distribution to define low/high. Valid for subject-relative affect if labels are available for evaluation, but not a deployment classifier without subject calibration.",0.7152878128773219
EEG,arousal,subject_top_bottom_quantile_q33,63,2016,1643,0.8149801587301587,0.4850882531953743,0.04047099674128673,0.15625,0.018407943595547538,1,medium,True,Uses only within-subject extremes and discards ambiguous middle trials. Lower coverage but cleaner labels.,0.6761012183933244
EEG,arousal,subject_zscore_sign,63,2016,2008,0.996031746031746,0.4706175298804781,0.07804232804232804,0.21875,0.0325074876673714,0,medium,True,"Uses each subject's own mean/std. Similar leakage profile to median split, slightly more sensitive to outliers.",0.8354819303220465
EEG,arousal,within_subject_pairwise_or_ranking_task,63,2016,26096,0.8351254480286738,0.5,0.0,0.0,0.0,0,medium_high,conditional,"Best matches within-subject affective ordering, but requires a different pairwise/ranking training objective and careful subject-heldout evaluation design.",0.6151254480286739
EEG,valence,subject_median_split,63,2016,1676,0.8313492063492064,0.5047732696897375,0.03377113378148575,0.15000000000000002,0.006727310726306557,0,medium,True,"Uses each subject's own rating distribution to define low/high. Valid for subject-relative affect if labels are available for evaluation, but not a deployment classifier without subject calibration.",0.740850761841414
EEG,valence,subject_top_bottom_quantile_q33,63,2016,1629,0.8080357142857143,0.4910988336402701,0.04811653014826197,0.15625,0.02284286515657098,0,medium,True,Uses only within-subject extremes and discards ambiguous middle trials. Lower coverage but cleaner labels.,0.6870763189808813
EEG,valence,subject_zscore_sign,63,2016,2011,0.9975198412698413,0.5315763301839881,0.06831522931753345,0.1875,0.03166906130268199,0,medium,True,"Uses each subject's own mean/std. Similar leakage profile to median split, slightly more sensitive to outliers.",0.8475355506496258
EEG,valence,within_subject_pairwise_or_ranking_task,63,2016,26754,0.8561827956989247,0.5,0.0,0.0,0.0,0,medium_high,conditional,"Best matches within-subject affective ordering, but requires a different pairwise/ranking training objective and careful subject-heldout evaluation design.",0.6361827956989248
EMG,arousal,subject_median_split,63,2016,1694,0.8402777777777778,0.5088547815820543,0.05284786871044163,0.5,0.02214209619001416,0,medium,True,"Uses each subject's own rating distribution to define low/high. Valid for subject-relative affect if labels are available for evaluation, but not a deployment classifier without subject calibration.",0.7152878128773219
EMG,arousal,subject_top_bottom_quantile_q33,63,2016,1643,0.8149801587301587,0.4850882531953743,0.04047099674128673,0.15625,0.018407943595547538,1,medium,True,Uses only within-subject extremes and discards ambiguous middle trials. Lower coverage but cleaner labels.,0.6761012183933244
EMG,arousal,subject_zscore_sign,63,2016,2008,0.996031746031746,0.4706175298804781,0.07804232804232804,0.21875,0.0325074876673714,0,medium,True,"Uses each subject's own mean/std. Similar leakage profile to median split, slightly more sensitive to outliers.",0.8354819303220465
EMG,arousal,within_subject_pairwise_or_ranking_task,63,2016,26096,0.8351254480286738,0.5,0.0,0.0,0.0,0,medium_high,conditional,"Best matches within-subject affective ordering, but requires a different pairwise/ranking training objective and careful subject-heldout evaluation design.",0.6151254480286739
EMG,valence,subject_median_split,63,2016,1676,0.8313492063492064,0.5047732696897375,0.03377113378148575,0.15000000000000002,0.006727310726306557,0,medium,True,"Uses each subject's own rating distribution to define low/high. Valid for subject-relative affect if labels are available for evaluation, but not a deployment classifier without subject calibration.",0.740850761841414
EMG,valence,subject_top_bottom_quantile_q33,63,2016,1629,0.8080357142857143,0.4910988336402701,0.04811653014826197,0.15625,0.02284286515657098,0,medium,True,Uses only within-subject extremes and discards ambiguous middle trials. Lower coverage but cleaner labels.,0.6870763189808813
EMG,valence,subject_zscore_sign,63,2016,2011,0.9975198412698413,0.5315763301839881,0.06831522931753345,0.1875,0.03166906130268199,0,medium,True,"Uses each subject's own mean/std. Similar leakage profile to median split, slightly more sensitive to outliers.",0.8475355506496258
EMG,valence,within_subject_pairwise_or_ranking_task,63,2016,26754,0.8561827956989247,0.5,0.0,0.0,0.0,0,medium_high,conditional,"Best matches within-subject affective ordering, but requires a different pairwise/ranking training objective and careful subject-heldout evaluation design.",0.6361827956989248
