branch_id,wave,git_branch,docs_prefix,status,parallel_group,can_start_after,chat_owner,main_question,scope,authorized_runs,dependencies,must_not_do,subbranches_or_cells
CONTROL,0+,main_or_docs_control_branch,idare_wave_control_,active_after_launch_pack,always_on,Wave 0 launch pack committed,Control Tower chat,"Which Wave 1 results pass gates, conflict, or require Wave 2 redesign?","No training. Gate decisions, baseline registry, branch registry, leaderboard, conflict detection.",0,Reads all branch closeouts.,"No experiment execution, no branch-owned file edits, no silent threshold changes.",
W1A,1_screening,idare/wave1/eeg-input-definition,idare_w1a_eeg_input_def_,ready_after_wave0,wave1_parallel,Wave 0 launch pack committed,EEG Input Definition chat,Is the current EEG input definition hiding useful signal?,EEG only; arousal only; pairwise formulation; ridge fixed; normalization fixed to current none.,18 = 3 cells x 6 folds,None beyond Wave 0.,"No normalization ablation, no neural training, no DEAP, no fusion, no rereference/downsampling changes.",A1 current STIM-BSL summary; A2 BSL-stats sidecar; A3 STIM-BSL + BSL-stats concat.
W1B,1_screening,idare/wave1/eeg-subject-normalization,idare_w1b_eeg_subj_norm_,ready_after_wave0,wave1_parallel,Wave 0 launch pack committed,EEG Subject Normalization chat,Does normalization reduce subject/fold heterogeneity in EEG arousal pairwise signal?,EEG only; arousal only; pairwise formulation; current STIM-BSL summary input; ridge fixed.,24 = 4 cells x 6 folds,None beyond Wave 0.,No input-definition changes. Transductive methods must be labeled. No rereference/downsampling changes.,B0 none; B1 per-subject z-score transductive; B2 train-fold StandardScaler non-transductive; B3 per-subject rank transform transductive.
W1C,1_screening,idare/wave1/emg-baseline-ablation,idare_w1c_emg_baseline_,ready_after_wave0,wave1_parallel,Wave 0 launch pack committed,EMG Independent Baseline chat,Can EMG independently reach a useful cross-subject baseline before fusion?,EMG only; binary formulation; ridge only; arousal and valence.,72 = 6 input/norm cells x 2 tasks x 6 folds x 1 model,None beyond Wave 0.,No fusion. No pairwise EMG retest unless Control Tower authorizes after closeout.,"C1 current EMG none; C2 EMG per-subject z-score; C3 EMG train StandardScaler; C4 EMG+BSL-stats none; C5 EMG+BSL-stats per-subject z-score; C6 EMG+BSL-stats train StandardScaler, across both tasks."
W1D,1_screening,idare/wave1/feature-discriminability,idare_w1d_feat_discrim_,ready_after_wave0,wave1_parallel,Wave 0 launch pack committed,Feature Discriminability chat,Do current EEG/EMG features contain measurable cross-subject label signal at all?,"Read-only feature audit for EEG and EMG, arousal and valence.",0 training runs,None beyond Wave 0.,"No model training, no cache overwrite, no DEAP, no fusion.",D1 cross-subject effect sizes; D2 within-subject vs cross-subject gap; D3 subject-vs-label clustering; D4 top-feature stability.
W2E,2_integration,idare/wave2/eeg-cross-factor,idare_w2e_cross_factor_,deferred_mandatory_after_w1a_w1b,sequential_after_wave1_gate,W1A and W1B closeout + Control Tower gate,EEG Cross-Factor Integration chat,Do input-definition and normalization improvements compound or interact?,Mandatory EEG interaction grid; pairwise and possibly binary formulation per gate.,48-60 estimated after gate,"W1A,W1B,W1D closeouts.",Do not start before Wave 1 gate.,E0 current+current; E1 best-A+current; E2 current+best-B; E3 best-A+best-B; E4 optional other A2/A3 with best-B if best-A is not the information-rich concat.
W2F,2_integration,idare/wave2/model-capacity-probe,idare_w2f_model_capacity_,deferred_after_wave1_gate,sequential_after_wave1_gate,W1A/W1B/W1D and possibly W1C closeout + Control Tower gate,Model Capacity Probe chat,Is linear model capacity limiting the best Wave 1/W2E operating point?,"Best selected EEG configuration; compare GBT, shallow MLP, optional RBF SVM.",12-18 estimated after gate,Best config from Wave 1 or W2E.,No broad hyperparameter search.,F1 Gradient Boosting; F2 shallow MLP; F3 optional RBF SVM.
W2_LABEL,2_candidate,idare/wave2/label-midpoint-policy,idare_w2_label_midpoint_,tracked_deferred_candidate,sequential_after_wave1_gate,Wave 1 gate if evidence suggests label policy interacts with winning config,Label/Midpoint Policy chat if activated,Does midpoint policy change the strongest Wave 1/W2 operating point?,"Midpoint-as-high vs discard-midpoint vs possibly midpoint-as-low, only after gate.",TBD,Wave 1 gate.,No Wave 1 label-policy changes.,TBD by Control Tower.
W3G,3_intervention,idare/wave3/augmentation-feasibility,idare_w3g_augmentation_,tracked_deferred_not_forgotten,sequential_after_wave2_gate,Wave 2 gate and stable config >= 0.53 or Control Tower authorization,Augmentation Feasibility chat if activated,Can within-fold augmentation improve a stable operating point without leakage?,Training-fold-only augmentation; no cross-subject or cross-fold leakage.,TBD,Wave 2 stable config.,No augmentation before Wave 3.,"Gaussian noise, time shift, feature-space mixup or domain-specific variants; exact design TBD."
W3H,3_diagnostic,idare/wave3/pre-fusion-readiness,idare_w3h_pre_fusion_,tracked_deferred,sequential_after_wave2_or_wave3_gate,EEG and EMG best configs are known,Pre-Fusion Readiness chat if activated,Are EEG and EMG independently stable enough for fusion?,Read-only complementarity/error-overlap diagnostic.,0 or TBD,W1C and best EEG branch closeouts.,No fusion experiment until readiness criteria pass.,"EEG vs EMG error overlap, complementarity, readiness criteria."
SUPCON_DG,3_plus_deferred,idare/wave3/supcon-dg-revisit,idare_w3_supcon_dg_,deferred_reference_only,not_parallel_now,Only if Wave 2 changes input/normalization/model landscape,SupCon/DG Revisit chat if activated,Do SupCon/DG methods become viable after upstream operating point changes?,Deferred; not a Wave 1 or Wave 2 default.,TBD,Wave 2 evidence.,Do not launch now; prior SupCon/DG failure remains informative.,TBD after Control Tower gate.
