path,extension,size_mb,kind,score,matched_terms,estimated_rows,snippets
scripts/roca/06a1z_idare_prior_experiment_map_and_root_cause_autopsy.py,.py,0.0378,py,45,"a8_vs_a0,ablation,acc,accuracy,adaptation,arch_ablation,architecture,attention,auc,aug,augment,augmentation,augmentation_config,bandpower,calibration,ccc,cnn,deep,deviation,domain,eegnet,embedding,emg_only,f1,few-shot,fewshot,gru,high_disagreement,label_policy,loso,lstm,macro_f1,mha,moe,oracle,pairwise,pearson,representation,residual,rmse,stimulus_only,subject,tcn,temporal,transformer",,"L31: ""augmentation"", ""augment"", ""aug"", ""augmentation_config"", || L32: ""oracle"", ""ablation"", ""arch_ablation"", ""architecture"", ""a8_vs_a0"", || L33: ""deep"", ""cnn"", ""tcn"", ""transformer"", ""attention"", ""mha"", ""moe"", || L34: ""eegnet"", ""gru"", ""lstm"", ""temporal"", ""representation"", ""embedding"", || L35: ""residual"", ""deviation"", ""high_disagreement"", ""subject"", ""loso"", || L36: ""domain"", ""adaptation"", ""calibration"", ""fewshot"", ""few-shot"", || L37: ""macro_f1"", ""f1"", ""accuracy"", ""acc"", ""auc"", ""rmse"", ""pearson"", ""ccc"", || L38: ""label_policy"", ""pairwise"", ""stimulus_only"", ""emg_only"", ""bandpower"","
scripts/roca/06a0_idare_deep_data_and_prior_model_inventory.py,.py,0.0226,py,25,"acc,accuracy,adaptation,attention,auc,ccc,cnn,deep,domain,eegnet,embedding,f1,few-shot,gru,loso,lstm,pearson,representation,rmse,subject,tcn,temporal,transformer",,"L18: OUT_PREFIX = ""idare_06a0_deep_data_and_prior_model_inventory_current"" || L28: DEEP_TERMS = [ || L29: ""deep"", ""cnn"", ""lstm"", ""gru"", ""transformer"", ""attention"", ""eegnet"", ""torch"", || L30: ""pytorch"", ""tensorflow"", ""keras"", ""conv"", ""tcn"", ""temporal"", ""raw eeg"", || L31: ""time-frequency"", ""spectrogram"", ""wavelet"", ""representation"", ""embedding"", || L32: ""domain adaptation"", ""few-shot"", ""loso"", ""cross-subject"", ""proposed model"", || L37: ""accuracy"", ""acc"", ""rmse"", ""mae"", ""f1"", ""auc"", ""ccc"", ""pearson"", ""loss"", || L38: ""valence"", ""arousal"", ""subject"", ""fold"", ""test"", ""validation"", ""baseline"","
docs/roca/eeg_oracle_arch_ablation_valence_current.md,.md,0.0182,md,22,"ablation,acc,accuracy,arch_ablation,architecture,aug,augment,augmentation,augmentation_config,f1,macro_f1,mha,moe,oracle,pearson,rmse",,"L1: # ROCA EEG Oracle Architecture Ablation - valence || L3: This report tests architecture-internal ablations of the existing EEGSegmentClassifier/EEGSegmentEncoder. || L9: - augmentation_config: `gaussian_0p10` || L10: - oracle_test_checkpoint_selection: `true` || L11: - arch_configs: `A0_current, A1_low_dropout, A2_high_dropout, A3_batchnorm, A4_stem_sum, A5_stem_attn, A6_stem_moe, A7_no_channel_mha, A8_no_channel_pos, A9_base_capacity, A10_lr_low, A11_lr_high` || L16: ## Best EEG configs by RMSE lift, then dev_pearson || L18: | arch_config | augmentation_config | target | model | n | rmse | lift_vs_stimulus_rmse | balanced_accuracy | lift_vs_stimulus_balanced_accuracy | macro_f1 | auroc | lift_vs_stimulus_auroc | dev_rmse | dev_pearson | pred_dev_std | true_dev_std | || L20: | A8_no_channel_pos | gaussian_0p10 | valence | eeg_oracle_arch_A8_no_channel_pos | 2016 | 1.208021 | 0.049753 | 0.879868 | 0.000308 | 0.865827 | 0.955935 | 0.012649 | 1.208021 | 0.278564 | 0.353098 | 1.257774 |"
docs/roca/eeg_oracle_arch_ablation_arousal_current.md,.md,0.0181,md,22,"ablation,acc,accuracy,arch_ablation,architecture,aug,augment,augmentation,augmentation_config,f1,macro_f1,mha,moe,oracle,pearson,rmse",,"L1: # ROCA EEG Oracle Architecture Ablation - arousal || L3: This report tests architecture-internal ablations of the existing EEGSegmentClassifier/EEGSegmentEncoder. || L9: - augmentation_config: `gaussian_0p10` || L10: - oracle_test_checkpoint_selection: `true` || L11: - arch_configs: `A0_current, A1_low_dropout, A2_high_dropout, A3_batchnorm, A4_stem_sum, A5_stem_attn, A6_stem_moe, A7_no_channel_mha, A8_no_channel_pos, A9_base_capacity, A10_lr_low, A11_lr_high` || L16: ## Best EEG configs by RMSE lift, then dev_pearson || L18: | arch_config | augmentation_config | target | model | n | rmse | lift_vs_stimulus_rmse | balanced_accuracy | lift_vs_stimulus_balanced_accuracy | macro_f1 | auroc | lift_vs_stimulus_auroc | dev_rmse | dev_pearson | pred_dev_std | true_dev_std | || L20: | A8_no_channel_pos | gaussian_0p10 | arousal | eeg_oracle_arch_A8_no_channel_pos | 2016 | 1.818722 | 0.125483 | 0.780472 | 0.011849 | 0.782531 | 0.859439 | 0.043366 | 1.818722 | 0.355663 | 0.629846 | 1.944205 |"
docs/roca/eeg_oracle_arch_ablation_arousal_current_best_ranking.csv,.csv,0.0075,csv,21,"ablation,acc,accuracy,arch_ablation,aug,augment,augmentation,augmentation_config,f1,macro_f1,mha,moe,oracle,pearson,rmse",12,"L1: arch_config,augmentation_config,target,model,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,li || L2: A8_no_channel_pos,gaussian_0p10,arousal,eeg_oracle_arch_A8_no_channel_pos,2016,1.4661356426158467,1.8187223419674812,0.6908320602744352,0.684624579093673,0.7804715762910682,0.7825312916673909,0.8594394664756528,1.4661356426158467,1.8187223419674812,0.355662730 || L3: A2_high_dropout,gaussian_0p10,arousal,eeg_oracle_arch_A2_high_dropout,2016,1.4671621115979463,1.8247215345180892,0.6883690983259831,0.6792288792567767,0.7812979519683513,0.7844375869118388,0.8573190379650896,1.4671621115979463,1.8247215345180892,0.350486403716 || L4: A11_lr_high,gaussian_0p10,arousal,eeg_oracle_arch_A11_lr_high,2016,1.4685353501381249,1.8286372606399206,0.6870819712608484,0.6788547644651238,0.7773073624651295,0.7810701028608567,0.8552314673343387,1.4685353501381249,1.8286372606399206,0.34651373173121475,0. || L5: A6_stem_moe,gaussian_0p10,arousal,eeg_oracle_arch_A6_stem_moe,2016,1.4745140224201405,1.8346799868462533,0.6843983920818802,0.6748861227117438,0.7820503974160563,0.785393981060522,0.8516959594665194,1.4745140224201405,1.8346799868462536,0.3361483395098,0.36064 || L6: A5_stem_attn,gaussian_0p10,arousal,eeg_oracle_arch_A5_stem_attn,2016,1.4745147743090024,1.8346806345324056,0.6843981385832213,0.6748853862534652,0.7820503974160563,0.785393981060522,0.8516948642038591,1.4745147743090024,1.8346806345324056,0.3361475123392747,0. || L7: A7_no_channel_mha,gaussian_0p10,arousal,eeg_oracle_arch_A7_no_channel_mha,2016,1.4751023977642397,1.8353310088151542,0.6839172159723175,0.6785236487293956,0.7850108923871578,0.7885884926143798,0.8563070152668663,1.4751023977642397,1.8353310088151542,0.33128080 || L8: A1_low_dropout,gaussian_0p10,arousal,eeg_oracle_arch_A1_low_dropout,2016,1.4669714773495934,1.8366470956522076,0.6834812571357327,0.6748510040319079,0.7870217946316795,0.7882294708706628,0.853523952846752,1.4669714773495934,1.8366470956522076,0.329412666433602"
docs/roca/eeg_oracle_arch_ablation_arousal_smoke_current_fold_summary.csv,.csv,0.0049,csv,21,"ablation,acc,accuracy,arch_ablation,aug,augment,augmentation,augmentation_config,f1,macro_f1,mha,oracle,pearson,rmse,subject",9,"L1: augmentation_config,target,model,test_subject,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,best_epoch,best_val_rmse_scaled,fit_subjects || L2: gaussian_0p10,arousal,eeg_oracle_arch_A0_current,1,32,1.5170393783730085,1.8256006357611705,0.6633835553615699,0.701781896881567,0.7166666666666667,0.722943722943723,0.8041666666666667,1.5170393783730085,1.8256006357611705,0.22549061827650344,0.166254239539790 || L3: gaussian_0p10,arousal,eeg_oracle_arch_A0_current,2,32,2.0464696414614085,2.4904082696881393,0.7279737417461505,0.7730658062687199,0.7727272727272727,0.6862745098039216,0.8545454545454545,2.0464696414614085,2.4904082696881393,0.15935580934776714,0.1121700879765 || L4: gaussian_0p10,arousal,eeg_oracle_arch_A0_current,3,32,1.057307339353586,1.3608581055438418,0.6153555602039061,0.591836323310239,0.9032258064516129,0.5714285714285714,0.967741935483871,1.057307339353586,1.3608581055438418,0.09901610275569958,0.09420821114369501 || L5: gaussian_0p10,arousal,eeg_oracle_arch_A7_no_channel_mha,1,32,1.5427538477598568,1.848676552613193,0.6550875568044812,0.6830701831579561,0.7166666666666667,0.722943722943723,0.7916666666666666,1.5427538477598568,1.848676552613193,0.2055022835540471,0.2106131435 || L6: gaussian_0p10,arousal,eeg_oracle_arch_A7_no_channel_mha,2,32,1.9788826555744434,2.4094214578218267,0.7154563333399011,0.7508501986990563,0.7454545454545455,0.6825396825396826,0.8590909090909091,1.9788826555744434,2.4094214578218267,0.10316356359385691,0.211510 || L7: gaussian_0p10,arousal,eeg_oracle_arch_A7_no_channel_mha,3,32,1.0885274119392756,1.363048059456552,0.6465597231733686,0.6018398861088836,0.9032258064516129,0.5714285714285714,1.0,1.0885274119392756,1.363048059456552,0.2748275515989804,0.2467008797653959,0.78125 || L8: gaussian_0p10,arousal,eeg_oracle_arch_A5_stem_attn,1,32,1.4038256461627117,1.7976644422583465,0.6912543582884276,0.7216051975590559,0.7166666666666667,0.722943722943723,0.8083333333333333,1.4038256461627117,1.7976644422583465,0.41033264574774225,0.433874073859"
docs/roca/eeg_oracle_arch_ablation_arousal_smoke_current.md,.md,0.0046,md,21,"ablation,acc,accuracy,arch_ablation,architecture,aug,augment,augmentation,augmentation_config,f1,macro_f1,mha,oracle,pearson,rmse",,"L1: # ROCA EEG Oracle Architecture Ablation - arousal || L3: This report tests architecture-internal ablations of the existing EEGSegmentClassifier/EEGSegmentEncoder. || L9: - augmentation_config: `gaussian_0p10` || L10: - oracle_test_checkpoint_selection: `true` || L11: - arch_configs: `A0_current, A7_no_channel_mha, A5_stem_attn` || L16: ## Best EEG configs by RMSE lift, then dev_pearson || L18: | arch_config | augmentation_config | target | model | n | rmse | lift_vs_stimulus_rmse | balanced_accuracy | lift_vs_stimulus_balanced_accuracy | macro_f1 | auroc | lift_vs_stimulus_auroc | dev_rmse | dev_pearson | pred_dev_std | true_dev_std | || L20: | A7_no_channel_mha | gaussian_0p10 | arousal | eeg_oracle_arch_A7_no_channel_mha | 96 | 1.921876 | 0.270527 | 0.718033 | 0.059251 | 0.722944 | 0.817330 | 0.107963 | 1.921876 | 0.528141 | 0.792185 | 2.163662 |"
docs/roca/eeg_oracle_arch_ablation_arousal_smoke_current_main_metrics.csv,.csv,0.0031,csv,21,"ablation,acc,accuracy,arch_ablation,aug,augment,augmentation,augmentation_config,f1,macro_f1,mha,oracle,pearson,rmse,stimulus_only",6,"L1: arch_config,augmentation_config,target,model,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,li || L2: A0_current,gaussian_0p10,arousal,eeg_oracle_arch_A0_current,96,1.540272119729334,1.9482373071101167,0.6863719820806597,0.6835831430080374,0.7119437939110069,0.71875,0.8220140515222483,1.540272119729334,1.9482373071101167,0.5499756647271887,0.5440264800956318,0 || L3: A0_current,gaussian_0p10,arousal,stimulus_only,96,1.8420698924731183,2.1924028970650706,0.5401617553994621,0.5445274908835436,0.6587822014051522,0.6627498485766202,0.709367681498829,1.8420698924731183,2.1924028970650706,,,0.0,0.35383064516129026,2.163662251277 || L4: A5_stem_attn,gaussian_0p10,arousal,eeg_oracle_arch_A5_stem_attn,96,1.717200805188214,2.102657809819174,0.6094609908322436,0.6435155059286143,0.6587822014051522,0.6627498485766202,0.7723653395784543,1.717200805188214,2.102657809819174,0.5783976470163448,0.56309 || L5: A5_stem_attn,gaussian_0p10,arousal,stimulus_only,96,1.8420698924731183,2.1924028970650706,0.5401617553994621,0.5445274908835436,0.6587822014051522,0.6627498485766202,0.709367681498829,1.8420698924731183,2.1924028970650706,,,0.0,0.35383064516129026,2.1636622512 || L6: A7_no_channel_mha,gaussian_0p10,arousal,eeg_oracle_arch_A7_no_channel_mha,96,1.536721305091192,1.9218755396731886,0.6807881982820717,0.671617076606764,0.7180327868852459,0.722943722943723,0.8173302107728337,1.536721305091192,1.9218755396731886,0.52814094073563 || L7: A7_no_channel_mha,gaussian_0p10,arousal,stimulus_only,96,1.8420698924731183,2.1924028970650706,0.5401617553994621,0.5445274908835436,0.6587822014051522,0.6627498485766202,0.709367681498829,1.8420698924731183,2.1924028970650706,,,0.0,0.35383064516129026,2.16366"
docs/roca/eeg_oracle_arch_ablation_valence_current_fold_summary.csv,.csv,0.374,csv,20,"ablation,acc,accuracy,arch_ablation,aug,augment,augmentation,augmentation_config,f1,macro_f1,oracle,pearson,rmse,subject",756,"L1: augmentation_config,target,model,test_subject,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,best_epoch,best_val_rmse_scaled,fit_subjects || L2: gaussian_0p10,valence,eeg_oracle_arch_A0_current,1,32,0.9320941943081995,1.1197822552867147,0.9021866812473527,0.8950481300824064,0.875,0.8423645320197044,0.925,0.9320941943081995,1.1197822552867147,0.3293876021136133,0.30341920663318983,0.625,-0.4495967741935 || L3: gaussian_0p10,valence,eeg_oracle_arch_A0_current,2,32,1.1721023425946588,1.5394086478714004,0.8489664512186728,0.7946373871461698,0.8947368421052632,0.8745098039215686,0.8906882591093117,1.1721023425946588,1.5394086478714004,-0.15713116494298474,-0.19101741842 || L4: gaussian_0p10,valence,eeg_oracle_arch_A0_current,3,32,1.0124042778781424,1.1246629339660108,0.907863192477943,0.900839815090056,0.875,0.8423645320197044,0.9875,1.0124042778781424,1.1246629339660108,0.30681532111842935,0.25481210327329606,0.5625,-0.195564516129 || L5: gaussian_0p10,valence,eeg_oracle_arch_A0_current,5,32,1.1403414915022023,1.3934861689830713,0.8915430941810438,0.8467389608493038,0.96875,0.9687194525904204,0.99609375,1.1403414915022023,1.3934861689830713,0.38432175621064246,0.350536267723661,0.5625,0.1854838 || L6: gaussian_0p10,valence,eeg_oracle_arch_A0_current,6,32,1.0351646171028612,1.1679232777698623,0.9526586913831061,0.9426294386045301,0.9411764705882353,0.9375,0.984313725490196,1.0351646171028612,1.1679232777698623,-0.21071715602217922,-0.20991842392447274,0.5625 || L7: gaussian_0p10,valence,eeg_oracle_arch_A0_current,7,32,0.621622261134121,0.7588506873950486,0.9435556929096898,0.94521817603233,0.875,0.8423645320197044,0.9958333333333333,0.621622261134121,0.7588506873950486,0.17420608189326475,0.19636965016674152,0.53125,-0.1 || L8: gaussian_0p10,valence,eeg_oracle_arch_A0_current,8,32,0.776323139714876,0.9895969911649194,0.9414081433075481,0.9288177621641441,0.96875,0.9687194525904204,1.0,0.776323139714876,0.9895969911649194,0.042018486542371086,0.06232242717037345,0.625,0.34425403225806"
docs/roca/eeg_oracle_arch_ablation_arousal_current_fold_summary.csv,.csv,0.3721,csv,20,"ablation,acc,accuracy,arch_ablation,aug,augment,augmentation,augmentation_config,f1,macro_f1,oracle,pearson,rmse,subject",756,"L1: augmentation_config,target,model,test_subject,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,best_epoch,best_val_rmse_scaled,fit_subjects || L2: gaussian_0p10,arousal,eeg_oracle_arch_A0_current,1,32,1.5170382925653287,1.825604175317017,0.6633820991598125,0.701781896881567,0.7166666666666667,0.722943722943723,0.8041666666666667,1.5170382925653287,1.825604175317017,0.2254808185762483,0.16625423953979038, || L3: gaussian_0p10,arousal,eeg_oracle_arch_A0_current,2,32,2.053221485567665,2.448268543398614,0.7607050209564732,0.8186171360754256,0.75,0.6559139784946236,0.8772727272727273,2.053221485567665,2.448268543398614,0.3691397119204723,0.31634897360703806,0.84375,2.2273 || L4: gaussian_0p10,arousal,eeg_oracle_arch_A0_current,3,32,1.0374739287284007,1.431447797987428,0.6123074102701742,0.6020551607748752,0.8870967741935484,0.5474747474747474,0.9032258064516129,1.0374739287284007,1.431447797987428,-0.05979220125410157,-0.0590175953079 || L5: gaussian_0p10,arousal,eeg_oracle_arch_A0_current,5,32,1.2526101644362115,1.5170567924862817,0.686421120487156,0.7545269880942553,0.8531746031746033,0.8435972629521017,0.8928571428571429,1.2526101644362115,1.5170567924862817,0.20598608304842536,0.20344574780058 || L6: gaussian_0p10,arousal,eeg_oracle_arch_A0_current,6,32,2.978789239318174,3.406019259929218,0.23999033927198893,0.3489115145641323,0.48333333333333334,0.36374269005847953,0.45,2.978789239318174,3.406019259929218,-0.2488861009121076,-0.16165689149560114,0.8125,3. || L7: gaussian_0p10,arousal,eeg_oracle_arch_A0_current,7,32,1.148144407296377,1.474217929334194,0.6607705666778754,0.6997295451595142,0.6875,0.4074074074074074,,1.148144407296377,1.474217929334194,-0.05974861964713711,0.04179268645542691,0.75,-1.0433467741935485,1.2 || L8: gaussian_0p10,arousal,eeg_oracle_arch_A0_current,8,32,1.6736858362064497,1.894392458969659,0.7439594836107485,0.791916706777846,0.7291666666666667,0.7196495619524406,0.9166666666666666,1.6736858362064497,1.894392458969659,-0.02348894128188357,-0.00439882697947"
