path,size_bytes,size_mb,deep_terms,result_terms,snippets,priority_score
scripts/roca/06a0_idare_deep_data_and_prior_model_inventory.py,23746,0.0226,"deep,cnn,lstm,gru,transformer,attention,eegnet,torch,pytorch,tensorflow,keras,conv,tcn,temporal,raw eeg,time-frequency,spectrogram,wavelet,representation,embedding","accuracy,acc,rmse,mae,f1,auc,ccc,pearson,loss,valence,arousal,subject,fold,test,validation,baseline","L18: OUT_PREFIX = ""idare_06a0_deep_data_and_prior_model_inventory_current"" || L21: "".git"", "".venv"", ""venv"", ""__pycache__"", "".mypy_cache"", "".pytest_cache"", || L28: DEEP_TERMS = [ || L29: ""deep"", ""cnn"", ""lstm"", ""gru"", ""transformer"", ""attention"", ""eegnet"", ""torch"", || L30: ""pytorch"", ""tensorflow"", ""keras"", ""conv"", ""tcn"", ""temporal"", ""raw eeg"", || L31: ""time-frequency"", ""spectrogram"", ""wavelet"", ""representation"", ""embedding"", || L32: ""domain adaptation"", ""few-shot"", ""loso"", ""cross-subject"", ""proposed model"", || L33: ""neural"", ""gpu"",",61
docs/handoff_bundle_latest.md,295409,0.2817,"deep,gru,transformer,attention,eegnet,torch,pytorch,conv,tcn,temporal,raw eeg,representation,embedding,loso,cross-subject,neural,gpu","accuracy,acc,f1,loss,valence,arousal,subject,fold,test,validation,baseline","L1: # Handoff Bundle - Latest || L27: Cross-Subject EEG-EMG Emotion Recognition with Trial-Aware Temporal Modeling on DEAP and I-DARE. || L35: Local dataset folders: || L40: The dataset folders currently exist but are empty. DEAP and I-DARE have not been downloaded yet. || L44: - docs/chat_handoff_latest.md || L53: - To verify the latest commit, run `git status` and `git log --oneline -5`. || L54: - Repository scaffold exists and was pushed to GitHub. || L57: - PyTorch with CUDA 12.8 is installed.",45
docs/proposal_v1_1.md,28574,0.0273,"gru,transformer,attention,eegnet,torch,pytorch,conv,tcn,temporal,representation,embedding,loso,cross-subject,neural,gpu","accuracy,acc,f1,loss,valence,arousal,subject,fold,test,validation,baseline","L5: **Cross-Subject EEG–EMG Emotion Recognition with Trial-Aware Temporal Modeling: A Controlled Study on DEAP and I-DARE** || L13: 1. **EEG-only cross-subject baselines** || L15: 3. **Trial-aware temporal modeling** || L16: 4. **EEG–EMG fusion at different representation levels** || L19: The paper version described here focuses on **within-dataset cross-subject generalization** on DEAP and I-DARE. || L26: Cross-subject EEG emotion recognition is difficult because EEG signals vary strongly across individuals. These variations are caused by many factors, including: || L28: - neural and anatomical differences, || L30: - fatigue and attention,",41
docs/chat_handoff_latest.md,9970,0.0095,"attention,torch,pytorch,temporal,representation,embedding,loso,cross-subject,gpu","acc,f1,loss,valence,arousal,subject,fold,test,validation,baseline","L7: Hard rule: every new script/training recipe/experiment runner must start with a smoke test first, such as `--max-runs 2 --epochs 1`, before any full run is proposed. || L9: The new chat must also verify file/context access before claiming it has read project files. || L14: - Main baseline: valence macro F1 `0.3953`, arousal macro F1 `0.4825`. || L15: - Discard-midpoint sanity: valence macro F1 `0.3877`, arousal macro F1 `0.4202`. || L16: - Next technical step: cache-based EEG training-recipe stabilization, smoke-test first. || L18: # Chat Handoff - Latest || L22: Cross-subject EEG-EMG emotion recognition on DEAP and I-DARE. || L26: Evaluate whether auxiliary EMG and trial-aware temporal modeling improve cross-subject EEG emotion recognition.",28
docs/next_chat_prompt.md,6873,0.0066,"attention,torch,pytorch,temporal,representation,embedding,loso,cross-subject,gpu","acc,f1,loss,valence,arousal,subject,fold,test,validation,baseline","L7: Hard rule: every new script/training recipe/experiment runner must start with a smoke test first, such as `--max-runs 2 --epochs 1`, before any full run is proposed. || L9: The new chat must also verify file/context access before claiming it has read project files. || L14: - Main baseline: valence macro F1 `0.3953`, arousal macro F1 `0.4825`. || L15: - Discard-midpoint sanity: valence macro F1 `0.3877`, arousal macro F1 `0.4202`. || L16: - Next technical step: cache-based EEG training-recipe stabilization, smoke-test first. || L22: Cross-Subject EEG-EMG Emotion Recognition with Trial-Aware Temporal Modeling on DEAP and I-DARE. || L30: Local dataset folders: || L35: The dataset folders currently exist but are empty. DEAP and I-DARE have not been downloaded yet.",28
docs/idare_baseline_modeling_literature_plan.md,7742,0.0074,"conv,raw eeg,time-frequency,representation,loso,neural","accuracy,acc,f1,valence,arousal,subject,fold,test,validation,baseline","L1: # I-DARE Baseline-Aware Modeling Literature Plan || L9: - Mainline representation for I-DARE remains `response = STIM - BSL`. || L10: - Raw `STIM only` remains a legacy/control baseline. || L12: - The first paired ablation should be a low-capacity version: `STIM-BSL + BSL summary features`, before a full three-branch neural model. || L18: We already created baseline-corrected caches for I-DARE, which is the right first correction. The remaining question is whether the model should explicitly see BSL and STIM as paired inputs. || L22: | Dataset | Stimulus unit | Baseline structure | Modeling implication | || L24: | I-DARE | 32 emotional pictures per subject | A dedicated black-screen BSL immediately precedes each picture STIM | Trial-wise paired modeling is meaningful: `BSL`, `STIM`, and `STIM-BSL` all have interpretable roles. | || L25: | DEAP | 40 one-minute music videos per subject | DEAP preprocessed Python contains a short baseline segment before the 60s stimulus signal | Baseline correction is appropriate, but DEAP is less naturally a paired 5s ...",27
docs/project_status_current.md,99911,0.0953,"deep,conv,temporal,representation,loso,cross-subject,neural","accuracy,acc,rmse,mae,f1,valence,arousal,subject,fold,test,validation,baseline","L7: It summarizes the latest frozen documentation and explicitly separates smoke evidence from final LOSO claims. || L11: - Project: cross-subject EEG/EMG emotion recognition on DEAP and I-DARE. || L13: - Current discipline: cache-backed runs, subject-held-out validation first, status docs frozen before moving to the next phase. || L14: - Operating conventions: `docs/project_operating_protocol.md` || L20: - The proposal's macro goal is to test whether EMG can add value to EEG in cross-subject emotion recognition. || L31: Label policy has now been tested in a controlled 144-run I-DARE ablation and reviewed. || L35: - EEG valence: `discard_midpoint` || L36: - EEG arousal: `midpoint_as_high`",26
docs/project_status_current.json,362010,0.3452,"deep,temporal,representation,embedding,loso,cross-subject,neural","accuracy,acc,f1,loss,valence,arousal,subject,fold,test,validation,baseline","L18: ""subject_files"": 32 || L43: ""subject_files"": 63 || L68: ""subject_files"": 63 || L91: ""subject_files"": 63 || L117: ""subject_files"": 63, || L135: ""final LOSO / final performance claim"", || L144: ""folds"": 6, || L161: ""final LOSO / final paper claim"",",25
docs/decision_log.md,16449,0.0157,"deep,torch,pytorch,conv,temporal,representation,loso","accuracy,acc,f1,loss,valence,arousal,subject,fold,test,validation,baseline",L16: Accepted. || L30: - Raw EMG can be tested later as an ablation. || L33: Accepted. || L48: - EEG and EMG may have different temporal dynamics. || L49: - Fusion location may affect representation quality. || L52: Accepted. || L56: ## D004 - Use common EEG+EMG subject set for main I-DARE experiments || L61: Use the 63 subjects that have both EEG and EMG files for the main I-DARE experiments.,25
scripts/roca/05ah_idare_physiology_informed_personalization_challenge.py,37543,0.0358,"deep,loso,cross-subject,neural","accuracy,acc,rmse,mae,auc,ccc,pearson,loss,valence,arousal,subject,fold,test,baseline","L18: from sklearn.metrics import mean_absolute_error, mean_squared_error, roc_auc_score || L30: ROCA / ""prior_baselines_no_global_current_main_metrics.csv"", || L31: ROCA / ""crossed_prior_baselines_current_main_metrics.csv"", || L34: ROCA / ""idare_scientific_direction_lock_current_locked_baselines.csv"", || L39: CALIB_FAMILY_PREFIX = ""idare_subject_calibration_model_family_comparison_current"" || L41: CALIB_FAMILY_SUBJECT = ROCA / f""{CALIB_FAMILY_PREFIX}_subject_metrics.csv"" || L43: DEFAULT_TARGETS = ""valence,arousal"" || L146: p.add_argument(""--max-subjects"", type=int, default=None)",22
scripts/roca/05c_eeg_residual_training_stabilized_smoke.py,32700,0.0312,"deep,torch,loso,gpu","accuracy,acc,rmse,mae,f1,pearson,loss,valence,arousal,subject,fold,test,validation,baseline","L16: import torch || L17: import torch.nn as nn || L18: from torch.utils.data import DataLoader, Dataset || L32: BC_EEG_NPY = CACHE_DIR / ""idare_eeg_windows_32x640_float32_baseline_corrected.npy"" || L33: BC_EEG_INDEX = CACHE_DIR / ""idare_eeg_cache_index_baseline_corrected.csv"" || L39: FOLD_SAFE_SELECTED = ROCA_DIR / ""fold_safe_selected_stimuli_current.csv"" || L46: OUT_FOLD_CSV = ROCA_DIR / ""eeg_residual_training_stabilized_smoke_fold_summary_current.csv"" || L50: ""valence"": ""valence_score"",",22
scripts/roca/05u_eeg_oracle_arch_ablation.py,20683,0.0197,"attention,torch,temporal,embedding","accuracy,acc,rmse,mae,f1,pearson,loss,valence,arousal,subject,fold,test,validation,baseline","L16: import torch || L57: ""description"": ""Same as current, but lower regularization. Tests underfitting."", || L67: ""description"": ""Same as current, but higher regularization. Tests overfitting/noisy checkpointing."", || L77: ""description"": ""Swap GroupNorm to BatchNorm inside temporal blocks/stem."", || L87: ""description"": ""Use sum fusion for temporal branches instead of concat projection."", || L97: ""description"": ""Use learned attention over temporal branches."", || L107: ""description"": ""Use lightweight MoE-style gate over temporal branches."", || L117: ""description"": ""Disable channel self-attention mixer. Tests whether MHA is noisy/overfitting."",",22
scripts/idare/archive_or_reconstructed/from_downloads_bundle/analysis/run_idare_diagnostic_sanity_tests_fixed.sh,36108,0.0344,"torch,raw eeg,representation,loso,neural","accuracy,acc,f1,loss,valence,arousal,subject,fold,test,validation,baseline","L4: echo ""===== 0) start I-DARE diagnostic sanity tests ====="" || L26: import torch || L31: print(""cuda_available="", torch.cuda.is_available()) || L35: echo ""ERROR: repo is not clean; commit/stash current changes before running diagnostic sanity tests."" || L44: .cache/idare_eeg_windows_32x640_float32_baseline_corrected.npy \ || L45: .cache/idare_eeg_cache_index_baseline_corrected.csv \ || L48: docs/idare_diagnostic_sanity_tests_objective.md \ || L49: docs/idare_diagnostic_sanity_tests_objective.json \",21
scripts/idare/archive_or_reconstructed/from_downloads_bundle/analysis/run_idare_diagnostic_sanity_tests.sh,36101,0.0344,"torch,raw eeg,representation,loso,neural","accuracy,acc,f1,loss,valence,arousal,subject,fold,test,validation,baseline","L4: echo ""===== 0) start I-DARE diagnostic sanity tests ====="" || L26: import torch || L31: print(""cuda_available="", torch.cuda.is_available()) || L35: echo ""ERROR: repo is not clean; commit/stash current changes before running diagnostic sanity tests."" || L44: .cache/idare_eeg_windows_32x640_float32_baseline_corrected.npy \ || L45: .cache/idare_eeg_cache_index_baseline_corrected.csv \ || L48: docs/idare_diagnostic_sanity_tests_objective.md \ || L49: docs/idare_diagnostic_sanity_tests_objective.json \",21
scripts/roca/05ae_idare_subject_calibration_model_family_comparison.py,35460,0.0338,few-shot,"accuracy,acc,rmse,mae,f1,ccc,pearson,loss,valence,arousal,subject,fold,test,baseline","L20: DEFAULT_OUT_PREFIX = ""idare_subject_calibration_model_family_comparison_current"" || L23: ""valence"": ""valence_score"", || L24: ""arousal"": ""arousal_score"", || L34: p.add_argument(""--targets"", type=str, default=""valence,arousal"") || L37: p.add_argument(""--max-subjects"", type=int, default=None) || L79: def pearson(y, p): || L90: return pearson( || L96: def ccc(y, p):",21
