path,kind,size_bytes,row_count,sample
docs/idare_acquisition_status.md,markdown_report,2378,,
docs/idare_arousal_baseline_corrected_balanced_sampler_smoke.json,json_report,131476,,
docs/idare_arousal_baseline_corrected_balanced_sampler_smoke.md,markdown_report,3068,,
docs/idare_arousal_baseline_corrected_balanced_sampler_stability_smoke.json,json_report,258595,,
docs/idare_arousal_baseline_corrected_balanced_sampler_stability_smoke.md,markdown_report,3830,,
docs/idare_arousal_baseline_corrected_discard_midpoint_sanity_smoke.json,json_report,515440,,
docs/idare_arousal_baseline_corrected_discard_midpoint_sanity_smoke.md,markdown_report,5542,,
docs/idare_arousal_baseline_corrected_recipe_compare_4fold_smoke.json,subject_or_fold_detail,514637,,
docs/idare_arousal_baseline_corrected_recipe_compare_4fold_smoke.md,subject_or_fold_detail,5554,,
docs/idare_arousal_baseline_corrected_recipe_compare_smoke.json,json_report,261222,,
docs/idare_arousal_baseline_corrected_recipe_compare_smoke.md,markdown_report,4044,,
docs/idare_baseline_correction_audit.json,json_report,23406,,
docs/idare_baseline_correction_audit.md,markdown_report,3771,,
docs/idare_baseline_modeling_literature_plan.json,json_report,1046,,
docs/idare_baseline_modeling_literature_plan.md,markdown_report,7742,,
docs/idare_broader_eval_eeg_bsl_stats_primary.json,json_report,933133,,
docs/idare_broader_eval_eeg_bsl_stats_primary.md,markdown_report,8524,,
docs/idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,artifact,721903,8064,
docs/idare_broader_eval_eeg_stim_bsl_only_primary.json,json_report,4815851,,
docs/idare_broader_eval_eeg_stim_bsl_only_primary.md,markdown_report,12062,,
docs/idare_broader_eval_eeg_stim_bsl_only_primary_predictions.csv,artifact,1006952,8064,
docs/idare_broader_eval_emg_bsl_stats_primary.json,json_report,947334,,
docs/idare_broader_eval_emg_bsl_stats_primary.md,markdown_report,8449,,
docs/idare_broader_eval_emg_bsl_stats_primary_predictions.csv,artifact,721456,8064,
docs/idare_broader_eval_emg_feature_only_primary.json,json_report,7368616,,
docs/idare_broader_eval_emg_feature_only_primary.md,markdown_report,11126,,
docs/idare_broader_eval_emg_feature_only_primary_predictions.csv,artifact,710384,8064,
docs/idare_broader_standardized_single_modality_evaluation_execution_spec.json,json_report,2207,,
docs/idare_broader_standardized_single_modality_evaluation_execution_spec.md,markdown_report,3967,,
docs/idare_broader_standardized_single_modality_evaluation_objective.json,json_report,2120,,
docs/idare_broader_standardized_single_modality_evaluation_objective.md,markdown_report,5407,,
docs/idare_broader_standardized_single_modality_evaluation_plan.json,json_report,1604,,
docs/idare_broader_standardized_single_modality_evaluation_plan.md,markdown_report,3390,,
docs/idare_broader_standardized_single_modality_evaluation_report.json,json_report,38233,,
docs/idare_broader_standardized_single_modality_evaluation_report.md,markdown_report,2967,,
docs/idare_broader_standardized_single_modality_evaluation_review_status.json,json_report,7065,,
docs/idare_broader_standardized_single_modality_evaluation_review_status.md,markdown_report,2338,,
docs/idare_calibration_and_subject_generalization_objective.json,subject_or_fold_detail,5508,,
docs/idare_calibration_and_subject_generalization_objective.md,subject_or_fold_detail,3865,,
docs/idare_calibration_protocol_objective.json,json_report,5022,,
docs/idare_calibration_protocol_objective.md,markdown_report,3631,,
docs/idare_calibration_protocol_report.json,json_report,55471,,
docs/idare_calibration_protocol_report.md,markdown_report,7210,,
docs/idare_calibration_protocol_review_status.json,json_report,2360,,
docs/idare_calibration_protocol_review_status.md,markdown_report,1246,,
docs/idare_calibration_protocol_summary.csv,artifact,6316,12,
docs/idare_calibration_subject_generalization_report.json,subject_or_fold_detail,63631,,
docs/idare_calibration_subject_generalization_report.md,subject_or_fold_detail,13395,,
docs/idare_calibration_subject_generalization_review_status.json,subject_or_fold_detail,2939,,
docs/idare_calibration_subject_generalization_review_status.md,subject_or_fold_detail,1258,,
docs/idare_calibration_subject_threshold_summary.csv,subject_or_fold_detail,95507,280,
docs/idare_cross_modality_error_overlap.csv,artifact,45500,378,
docs/idare_cross_subject_failure_root_cause_triage_objective.json,subject_or_fold_detail,2134,,
docs/idare_cross_subject_failure_root_cause_triage_objective.md,subject_or_fold_detail,4112,,
docs/idare_da_main_model_full_closeout_report.json,json_report,2248,,
docs/idare_da_main_model_full_closeout_report.md,markdown_report,492,,
docs/idare_da_main_model_full_leakage_audit.json,json_report,19483,,
docs/idare_da_main_model_full_metric_summary.csv,metrics,2967,20,"[{""modality"": ""EEG"", ""task"": ""arousal"", ""da_policy"": ""E0_none_baseline"", ""runs"": ""6"", ""mean_balanced_accuracy"": ""0.5342988591690023"", ""std_balanced_accuracy"": ""0.012075236409138396"", ""mean_accuracy"": ""0.5498579545454545"", ""mean_macro_f1"": ""0.4977256538911137"", ""one_class_collapse_count"": ""0"", ""mean_delta_vs_no_da"": ""0.0"", ""fold_wins_vs_no_da"": ""0""}, {""modality"": ""EEG"", ""task"": ""arousal"", ""da_policy"": ""E1_additive_gaussian_noise_weak"", ""runs"": ""6"", ""mean_balanced_accuracy"": ""0.5486431915971081..."
docs/idare_da_main_model_full_run_matrix.csv,artifact,31544,120,
docs/idare_da_main_model_full_runs.csv,artifact,68275,120,
docs/idare_data_augmentation_artifact_review_bundle.json,json_report,4315,,
docs/idare_data_augmentation_artifact_review_bundle.md,markdown_report,841,,
docs/idare_data_augmentation_best_policy_report.json,json_report,2072,,
docs/idare_data_augmentation_best_policy_report.md,markdown_report,1011,,
docs/idare_data_augmentation_closeout_report.json,json_report,3265,,
docs/idare_data_augmentation_closeout_report.md,markdown_report,1260,,
docs/idare_data_augmentation_execution_terminal.log,artifact,4530,,
docs/idare_data_augmentation_fold_level_report.json,subject_or_fold_detail,74493,,
docs/idare_data_augmentation_fold_level_report.md,subject_or_fold_detail,36666,,
docs/idare_data_augmentation_leakage_audit.json,json_report,49512,,
