branch,last_commit_date,last_commit_hash,last_commit_subject,commits_ahead_of_roca,commits_behind_roca,files_changed_vs_roca,docs_files,scripts_files,md_files,csv_files,json_files,shortstat_vs_roca,recommended_action,reason,note
origin/idare/postwave1/data-augmentation-track,2026-05-12T18:56:36+03:00,f9728de,exp: run I-DARE main-model data augmentation matrix,29,74,96,94,2,42,7,43,"96 files changed, 12739 insertions(+)",KEEP_EVIDENCE_CHERRY_PICK_ONLY,contains prior augmentation evidence; do not merge whole branch because current locked-gate tests supersede it,Use as historical evidence only; gaussian_0p10 was promising in old reports but failed current locked-gate rerun.
origin/idare/control-tower,2026-05-12T17:35:27+03:00,e6b021c,docs: add data augmentation track authorization package,24,74,65,65,0,32,1,32,"65 files changed, 5496 insertions(+)",KEEP_EVIDENCE_CHERRY_PICK_ONLY,contains prior augmentation evidence; do not merge whole branch because current locked-gate tests supersede it,Use as historical evidence only; gaussian_0p10 was promising in old reports but failed current locked-gate rerun.
origin/idare/postwave1/idare-prior-best-cell-confirmation,2026-05-12T14:51:48+03:00,2b72f40,exp: run I-DARE prior-best confirmation,23,74,84,83,1,38,5,38,"84 files changed, 35657 insertions(+)",KEEP_EVIDENCE_CHERRY_PICK_ONLY,"contains prior-best confirmation reports; useful for history, not enough to override current ROCA conclusion",Cherry-pick only summary docs if missing from current branch.
origin/idare/postwave1/label-task-protocol-reconciliation,2026-05-12T13:14:55+03:00,19188db,analysis: run label task protocol reconciliation audit,18,74,60,59,1,29,1,29,"60 files changed, 7556 insertions(+)",KEEP_METHOD_NOTES_CHERRY_PICK_ONLY,contains strict non-transductive normalization / DG design notes,Useful for methods section and future work; do not merge wholesale.
origin/idare/postwave1/root-cause-triage,2026-05-12T12:50:23+03:00,86b239a,analysis: run root-cause triage audit,17,74,58,57,1,28,1,28,"58 files changed, 5725 insertions(+)",KEEP_METHOD_NOTES_CHERRY_PICK_ONLY,contains strict non-transductive normalization / DG design notes,Useful for methods section and future work; do not merge wholesale.
origin/idare/postwave1/representation-redesign-confirmation,2026-05-11T21:18:11+03:00,79438a0,docs: add representation redesign confirmation closeout,12,74,40,39,1,18,3,18,"40 files changed, 4287 insertions(+)",KEEP_METHOD_NOTES_CHERRY_PICK_ONLY,contains strict non-transductive normalization / DG design notes,Useful for methods section and future work; do not merge wholesale.
origin/idare/postwave1/representation-redesign-smoke,2026-05-11T20:41:35+03:00,2fd7f18,chore: normalize representation redesign smoke CSV outputs,12,74,43,42,1,20,2,20,"43 files changed, 4839 insertions(+)",KEEP_METHOD_NOTES_CHERRY_PICK_ONLY,contains strict non-transductive normalization / DG design notes,Useful for methods section and future work; do not merge wholesale.
origin/idare/postwave1/strict-ntd-norm-smoke,2026-05-11T18:55:38+03:00,908dd55,analysis: add strict NTD norm smoke results,7,74,25,24,1,11,1,11,"25 files changed, 6818 insertions(+)",KEEP_METHOD_NOTES_CHERRY_PICK_ONLY,contains strict non-transductive normalization / DG design notes,Useful for methods section and future work; do not merge wholesale.
origin/idare/wave1/eeg-input-definition,2026-05-11T17:40:32+03:00,195c148,analysis: close out W1A EEG input definition,2,74,11,11,0,3,4,3,"11 files changed, 79374 insertions(+)",REVIEW_BEFORE_ACTION,branch category not recognized automatically,Inspect top files before merge/delete.
origin/idare/wave1/emg-baseline-ablation,2026-05-11T16:34:25+03:00,5a008c8,analysis: add W1C EMG independent ridge baseline,1,74,11,10,1,4,2,4,"11 files changed, 35548 insertions(+)",REVIEW_BEFORE_ACTION,branch category not recognized automatically,Inspect top files before merge/delete.
origin/idare/wave1/eeg-subject-normalization,2026-05-11T16:26:24+03:00,91f6573,analysis: add W1B EEG subject normalization audit,1,74,9,8,1,3,2,3,"9 files changed, 976 insertions(+)",KEEP_METHOD_NOTES_CHERRY_PICK_ONLY,contains EEG subject-normalization audit/design evidence,Use to support calibration/domain-shift framing; do not claim it solves locked LOSO.
origin/idare/wave1/feature-discriminability,2026-05-11T15:40:14+03:00,f35d1a2,analysis: close out W1D feature discriminability audit,2,74,7,6,1,4,1,1,"7 files changed, 1146 insertions(+)",REVIEW_BEFORE_ACTION,branch category not recognized automatically,Inspect top files before merge/delete.
origin,2026-05-11T14:43:05+03:00,d7e93ad,"docs: add I-DARE Wave 0 parallel launch pack
2026-05-12T17:35:27+03:00|e6b021c|docs: add data augmentation track authorization package
2026-05-12T18:56:36+03:00|f9728de|exp: run I-DARE main-model data augmentation matrix
2026-05-12T14:51:48+03:00|2b72f40|exp: run I-DARE prior-best confirmation
2026-05-12T13:14:55+03:00|19188db|analysis: run label task protocol reconciliation audit
2026-05-11T21:18:11+03:00|79438a0|docs: add representation redesign confirmation closeout
2026-05-11T20:41:35+03:00|2fd7f18|chore: normalize representation redesign smoke CSV outputs
2026-05-12T12:50:23+03:00|86b239a|analysis: run root-cause triage audit
2026-05-11T18:55:38+03:00|908dd55|analysis: add strict NTD norm smoke results
2026-05-11T17:40:32+03:00|195c148|analysis: close out W1A EEG input definition
2026-05-11T16:26:24+03:00|91f6573|analysis: add W1B EEG subject normalization audit
2026-05-11T16:34:25+03:00|5a008c8|analysis: add W1C EMG independent ridge baseline
2026-05-11T15:40:14+03:00|f35d1a2|analysis: close out W1D feature discriminability audit
2026-05-11T14:43:05+03:00|d7e93ad|docs: add I-DARE Wave 0 parallel launch pack
2026-05-31T11:28:21+03:00|42e2b47|Add I-DARE calibration-dominant conclusion",0,74,0,0,0,0,0,0,,REVIEW_BEFORE_ACTION,branch category not recognized automatically,Inspect top files before merge/delete.
